name,fh,seed_index,mass_msun,r_h_pc,r_proj_h_pc,z_ratio,sigma_h_msun_pc2,imbh_mass_msun,eq_id
fh0.125_seed1,0.125,1,116209.31587000268,0.4385051766490586,0.3360192924513859,0.41117581936020736,163807.07298571075,355.7585930366256,9
fh0.125_seed2,0.125,2,171230.04989388285,0.47019255867680226,0.3603008112465918,0.015639148885704952,209927.64553254304,1050.6989373695815,9
fh0.125_seed3,0.125,3,195339.03402493976,0.48147460007587856,0.36894605369799127,0.4442572304053982,228393.33626665888,456.88507945579386,9
fh0.125_seed4,0.125,4,338152.83412205696,0.5314613671287682,0.4072500897538454,0.024662277796266497,324497.0746162441,1311.387302884551,10
fh0.125_seed5,0.125,5,393736.55804272316,0.5462209936490786,0.4185601483900986,0.043850172498635605,357692.735127719,1343.9007699272524,10
fh0.125_seed6,0.125,6,550199.2880551605,0.5801295117392886,0.444543687156543,0.018652699462334516,443109.70398835477,1531.7074794157197,10
fh0.125_seed7,0.125,7,919235.7183564766,0.6362798867227739,0.4875707944235816,0.13243960390798767,615420.0710362527,1384.0289924484323,10
fh0.125_seed8,0.125,8,1108088.8196297232,0.6580437639144276,0.5042480949535845,0.011873296757565764,693595.3491566286,1853.6999091198986,10
fh0.125_seed9,0.125,9,1491739.1340053931,0.6942183253811528,0.5319680654261707,0.011287277554923987,838961.2282842213,1982.731279133699,10
fh0.125_seed10,0.125,10,2333581.661888285,0.752446272757029,0.5765871821892943,0.7499734238890287,1117154.3161393697,797.2524354435404,10
fh0.184_seed1,0.184,1,127193.50886005335,0.6560589361253792,0.5027271541190645,0.024328613474644746,80097.76400231739,471.4420745755342,9
fh0.184_seed2,0.184,2,157852.71957945667,0.6820630723937443,0.5226536953208769,0.037174043157144336,91969.56863999147,509.7225915012659,9
fh0.184_seed3,0.184,3,223675.2060453631,0.726223631673436,0.5564932043474605,0.010964169065974007,114952.45403731968,708.4234717242034,9
fh0.184_seed4,0.184,4,304247.8832897573,0.767573771957283,0.5881791355994507,0.6220431277703273,139967.90670291774,207.5375306653723,9
fh0.184_seed5,0.184,5,498915.44394503033,0.8390426073570348,0.6429445267103716,0.04799751841807652,192087.92811493392,900.0354073843373,9
fh0.184_seed6,0.184,6,709179.9110186757,0.8938719745947358,0.6849593675055446,0.10058505196142825,240573.02966732296,987.0582039205692,9
fh0.184_seed7,0.184,7,798095.3241346664,0.9130804046540664,0.6996784709992846,0.28421275716483263,259464.4582817986,653.2276442616394,9
fh0.184_seed8,0.184,8,1360320.1840857205,1.0050659735872238,0.7701654970017041,0.013434151844670112,365000.2455061643,1421.9405055036004,10
fh0.184_seed9,0.184,9,2113111.573093826,1.0879907469084562,0.8337093846041811,0.18663619226111725,483852.7123580833,1101.7891717610337,10
fh0.184_seed10,0.184,10,2289033.4465833143,1.1037648245674545,0.8457968004348311,0.1860315809765468,509260.7370787939,1128.5423557070671,10
fh0.269_seed1,0.269,1,110188.67181887699,0.9346699331392935,0.7162221709879644,0.02451287718302932,34187.044599394256,157.18486674122505,9
fh0.269_seed2,0.269,2,200143.78025089097,1.0406751861279564,0.79745224990648,0.017850507688045015,50090.21024921551,291.225853900989,9
fh0.269_seed3,0.269,3,241072.32893929456,1.0761186226464647,0.8246119713766014,0.08152683726999799,56424.565611738144,269.005977587236,9
fh0.269_seed4,0.269,4,384774.60673271,1.1706060765870088,0.8970161506413861,0.08405994680741383,76107.24646065832,376.6837353117571,9
fh0.269_seed5,0.269,5,551573.1711794025,1.2489992734032593,0.9570875658262524,0.3681011464606743,95834.06658812263,217.52738232508273,9
fh0.269_seed6,0.269,6,699826.5056150362,1.3036826667332233,0.9989905492208608,0.224676982732704,111606.05558935141,364.0955436748145,9
fh0.269_seed7,0.269,7,979954.2751260668,1.3851304216719198,1.06140262197082,0.09452596724764141,138441.2880459821,652.128544898078,9
fh0.269_seed8,0.269,8,1246741.9251149567,1.4464832307718611,1.1084162687906982,0.012927153692306646,161506.8373016748,896.6999844891398,9
fh0.269_seed9,0.269,9,2199730.973536734,1.6021388226061617,1.2276925843725377,0.447393241063433,232279.26143146522,461.18662660746963,9
fh0.269_seed10,0.269,10,3229948.285863918,1.716836050293998,1.3155831803019142,0.4272414899665246,297015.4739335246,568.9614729192635,10
fh0.395_seed1,0.395,1,402804.60143691226,1.733147134443963,1.3280820953593588,0.08876198453822384,36346.67696731577,146.28887434317403,9
fh0.395_seed2,0.395,2,598664.2722764269,1.8612788336294113,1.4262673054631505,0.19824831287005074,46838.353330590144,129.74632974007,9
fh0.395_seed3,0.395,3,946992.2931684552,2.021439730524833,1.5489959620879947,0.01159683458837306,62815.38196934661,402.8607179648716,9
fh0.395_seed4,0.395,4,1243522.2725952864,2.123029748050111,1.6268427188123458,0.20539108493913402,74779.50122668014,245.6897683195075,9
fh0.395_seed5,0.395,5,2196398.486657626,2.3519411015638996,1.8022537176734863,0.6107409547454755,107621.5908216818,133.95149836871406,9
fh0.395_seed6,0.395,6,2590931.9298016597,2.4229280505749893,1.8566498471839,0.011266252027095077,119623.39461012189,728.8843759672909,9
fh0.395_seed7,0.395,7,3188462.4610925727,2.5151452620746717,1.927314377068714,0.5548116280221815,136614.349237121,225.60118583203894,9
fh0.395_seed8,0.395,8,4626793.780226783,2.68948336880639,2.0609067960202223,0.5162081355417498,173373.84146133738,319.7546211813856,9
fh0.395_seed9,0.395,9,6508031.547633626,2.859824445832037,2.1914363569594157,0.21036698279737145,215681.08325897157,663.3994633477405,9
fh0.395_seed10,0.395,10,10174713.993244946,3.099362935596007,2.3749907552459826,0.026800812065963495,287090.2840416078,1226.5211748181018,10
fh0.580_seed1,0.58,1,1202913.2343177348,3.098785461686776,2.374548246503277,0.04208005595890056,33954.116814213725,145.58561439183177,9
fh0.580_seed2,0.58,2,1401119.2581794783,3.185039726987227,2.4406434689557295,0.1201502384972116,37435.75101305623,145.59220219155395,9
fh0.580_seed3,0.58,3,2057526.6731790055,3.413119708216611,2.615417400932269,0.04181453542018802,47872.222228591505,242.96772893525485,9
fh0.580_seed4,0.58,4,3172847.233117296,3.6898625136202226,2.82748085334883,0.01932557286699292,63164.047039791214,379.73804769690287,9
fh0.580_seed5,0.58,5,3730065.5565989674,3.7989038249352283,2.91103741374347,0.015564802176140945,70055.30399067921,436.0367835258912,9
fh0.580_seed6,0.58,6,6527730.278851405,4.201520931300168,3.219556269195531,0.0453414281839763,100228.28366022474,538.0774836966411,9
fh0.580_seed7,0.58,7,8337661.189486246,4.390735734472146,3.3645484555342113,0.01633251054083223,117222.4516307156,690.7719287146883,9
fh0.580_seed8,0.58,8,10024853.883738225,4.538824437250532,3.478026388697726,0.013228113543090924,131896.24674681155,773.0958134811117,9
fh0.580_seed9,0.58,9,16531205.770453582,4.966428082325406,3.8056920171075905,0.01878955957529681,181659.19480548394,940.8461777686898,9
fh0.580_seed10,0.58,10,24188126.101484913,5.318604976036701,4.075559368610499,0.011312133197252694,231765.03008399624,1145.3369552097683,9
